Symbol,Kod kreskowy,Nazwa,Kontener,Regał,Półka
HK-8185,5902689308673,Szopka bożonarodzeniowa - Decorato,K17,,
HK-8205,5902689308680,Szopka bożonarodzeniowa - Decorato,K17,,
HK-8169,5902689308710,Szopka bożonarodzeniowa - Decorato,K17,,
HR-9462,5902689308468,Aniołki - zawieszka - Decorato,K17,,
HR-10274AB,5902689331121,Aniołki - zawieszka - Decorato,K17,,
HR-10243,5902689308277,Anioł - Decorato,K17,,
HR-10227,5902689308208,Anioł - Decorato,K17,,
HR-10173R,5902689353222,Anioł - Decorato,K17,,
HK-8117,5902689303876,Anioł - Decorato,K17,,
HK-8116,5902689308307,Anioł - Decorato,K17,,
HK-8063,5902689308314,Anioł - Decorato,K17,,
HRM-9013,5902689353635,Święty Mikołaj - zwierzęta leśne - Decorato,K17,,
HRM-9348R-A,5902689353765,Anioł - zawieszka - Decorato,K17,,
HRM-9348R-B,5902689353772,Anioł - zawieszka - Decorato,K17,,
HRM-9350R,5902689353796,Święta Rodzina - zawieszka - Decorato,K17,,
HRM-9148R-A,5902689353659,Święty Mikołaj - choinka - Decorato,K17,,
HRM-9148R-B,5902689353666,Święty Mikołaj - choinka - Decorato,K17,,
HRM-9343R-A,5902689353703,Święty Mikołaj - prezent - Decorato,K17,,
HRM-9343R-B,5902689353710,Święty Mikołaj - prezent - Decorato,K17,,
HRM-9344R,5902689353727,Święty Mikołaj - zawieszka - Decorato,K17,,
HK-8171,5902689308970,Anioł - gwiazda - Decorato,K17,,
HK-8170,5902689308413,Anioł - Decorato,K17,,
HK-8076,5902689308284,Anioł - Decorato,K17,,
HK-8155,5902689308987,Anioł - Decorato,K17,,
HK-8154,5902689308390,Anioł - Decorato,K17,,
HK-8092,5902689308963,Anioł - Decorato,K17,,
HR-11501,5902689353444,Figurki - renifery - set - Decorato,K17,,
HRM-8969-A,5902689353475,Święty Mikołaj - choinka - Decorato,K17,,
HRM-8969-B,5902689353482,Święty Mikołaj - choinka - Decorato,K17,,
HRM-8969-C,5902689353499,Święty Mikołaj - choinka - Decorato,K17,,
HRM-8970-A,5902689353505,Święty Mikołaj - zawieszka - Decorato,K17,,
HRM-8970-B,5902689353512,Święty Mikołaj - zawieszka - Decorato,K17,,
HRM-8970-C,5902689353529,Święty Mikołaj - zawieszka - Decorato,K17,,
HRM-8973-A,5902689353581,Anioł - gołąb - Decorato,K17,,
HRM-8973-B,5902689353598,Anioł - gołąb - Decorato,K17,,
HRM-8973-C,5902689353604,Anioł - gołąb - Decorato,K17,,
HR-10171R,5902689309045,Anioł - Decorato,K17,,
HR-11496-A,5902689353420,Figurka - renifer - Decorato,K17,,
HR-11496-B,5902689353437,Figurka - renifer - Decorato,K17,,
ZY22111-30C,,Figura do szopki bożonarodzeniowej - osioł,K39,,
ZY22101-19C,5902689329456,Figura do szopki bożonarodzeniowej - słoń,K39,,
ZY22101-19,5902689329487,Figura do szopki bożonarodzeniowej - słoń,K39,,
ZY22101-26,5902689329470,Figura do szopki bożonarodzeniowej - słoń,K39,,
ZY22102-17,5902689329555,Figura do szopki bożonarodzeniowej - wielbłąd,K39,,
ZY22102C,5902689326455,Figura do szopki bożonarodzeniowej - wielbłąd,K39,,
ZY22111-13.5,5902689329692,Figura do szopki bożonarodzeniowej - osioł,K39,,
ZY22111-13.5C,5902689329661,Figura do szopki bożonarodzeniowej - osioł - 28 cm,K39,,
ZY22111-18,5902689329685,Figura do szopki bożonarodzeniowej - osioł,K39,,
ZY16948-24W,5902689331497,Figura - Korpus Jezusa Chrystusa,K39,,
ZY16169,5902689365461,Szopka bożonarodzeniowa,K39,,
ZY22114,5902689331367,Figura do szopki bożonarodzeniowej - gęś Joanna,K39,,
ZY22054,5902689331428,Figura do szopki bożonarodzeniowej - kogut,K39,,
ZY22053,5902689331381,Figura do szopki bożonarodzeniowej - kura - 40 cm,K39,,
ZY22113,5902689331374,Figura do szopki bożonarodzeniowej - kaczka,K39,,
ZY16092Z-15,5902689330827,Figura do szopki bożonarodzeniowej - wielbłąd,K39,,
ZY15891Q-12,5902689330780,Figura do szopki bożonarodzeniowej - wielbłąd,K39,,
ZY22013,5902689331473,Figura do szopki bożonarodzeniowej - owca Gosia,K39,,
ZY16948-32W,5902689331510,Figura - Korpus Jezusa Chrystusa,K39,,
